order,sheet number ,date,local,species,nest,replicate nest,round,treatment,visit,age,band,nestlingID,colors,fledged,bill,tarsus,wingchord,mass,lesions,bknares,hg,hct1,hct2 ,hct,,,,,,
305,26.5,27-Mar-15,Gondor,GAMO,7,1,1,W,3,7,DC546,7-L,GGSR,1,7.95,33.45,15.49,25.3,0,2,4.3,14.36,60.11,0.238895359,,,,,,
162,15,14-Mar-15,LR,GAMO,42,1,1,W,2,6,DC512,42-L,,0,5.77,21.95,4.64,23.85,0,2,,10.36,49.69,0.208492654,,,,,,
163,15,14-Mar-15,LR,GAMO,42,1,1,W,2,6,DC513,42-N,,0,5.35,21.52,3.47,23.13,0,0,,13.23,48.65,0.271942446,,,,,,
37,4,8-Mar-15,Beach,GAMO,59,1,1,P,2,6,DC438,59-R,,1,5.73,22.29,4.27,22.77,0,0,7.2,14.94,57.19,0.261234482,,,,,,
203,18,16-Mar-15,Gondor,GAMO,25,1,1,P,2,6,DC525,25-B,,1,5.39,21.59,2.45,22.59,0,0,6.6,11.83,43.79,0.270153003,,,,,,
38,4,8-Mar-15,Beach,GAMO,59,1,1,P,2,6,DC464,59-B,,1,5.81,,3.4,22.11,0,0,8.7,8.72,32.44,0.268803946,,,,,,
166,15,15-Mar-15,TT,GAMO,74,1,1,P,2,6,DC514,74-R,,0,5.85,22.93,5.64,22.09,0,0,7.2,18.98,61.79,0.307169445,,,,,,
202,18,16-Mar-15,Gondor,GAMO,25,1,1,P,2,5,DC524,25-L,,1,4.95,21.54,2.75,22.04,0,0,8.3,13.84,43.96,0.314831665,,,,,,
97,9,11-Mar-15,UR,GAMO,85,1,1,W,2,5,DC499,85-B,,0,6.02,22.77,5.59,21.96,,2,5.4,18.88,63.2,0.298734177,,,,,,
28,4,8-Mar-15,UR,GAMO,89,1,1,P,2,6,DC425,89-R,,0,5.63,19.45,3.27,21.9,0,0,6.7,2.54,10.9,0.233027523,,,,,,
150,14,14-Mar-15,AZ,GAMO,111,1,1,P,2,6,DC508,111-R,,0,5.49,22.39,3.72,21.76,0,0,7.1,21.45,64.12,0.334529008,,,,,,
137,12,14-Mar-15,HD,GAMO,140,1,1,W,2,6,DC495,140-R,,1,5.6,20.52,2.74,21.35,0,2,7.3,15.25,47.75,0.319371728,,,,,,
136,12,14-Mar-15,Shire,GAMO,90,1,1,P,2,5,DC489,90-R,,1,5.12,20.58,3.34,21.34,0,0,10.2,15.36,44.72,0.343470483,,,,,,
151,14,14-Mar-15,AZ,GAMO,111,1,1,P,2,5,DC509,111-L,,1,5.41,20.2,2.42,21.12,0,0,6.8,16.73,57.22,0.292380287,,,,,,
108,10,13-Mar-15,UR,GAMO,89,1,1,P,3,10,DC424,89-N,RYSY,1,8,30.71,12.58,20.98,0,0,9.4,12.32,34.62,0.355863663,,,,,,
61,6,10-Mar-15,BW,GAMO,77,1,1,P,2,6,DC477,77-N,,0,5.98,21.96,,20.79,0,0,8.7,,,,,,,,,
224,20,17-Mar-15,BW,GAMO,93,1,1,W,2,5,,93-R,,0,5.36,20.06,1.69,20.39,0,2,5.2,9.27,39.12,0.23696319,,,,,,
167,15,15-Mar-15,TT,GAMO,74,1,1,P,2,6,DC515,74-L,,1,5.58,22.17,4.74,20.1,0,1,7,19.5,63.22,0.308446694,,,,,,
95,9,11-Mar-15,UR,GAMO,85,1,1,W,2,5,DC500,85-R,,1,5.04,21.48,3.8,19.66,,0,7.6,18.16,66.04,0.274984858,,,,,,
249,22,22-Mar-15,LR,GAMO,88,1,1,P,2,5,DC539,88-L,,1,5.19,18.32,2.84,19.37,0,0,7.8,13.7,43.72,0.313357731,,,,,,
180,16,16-Mar-15,UR,GAMO,76,1,1,W,2,5,,76-L,,0,5.08,22.1,2.6,19.28,0,2,4.1,13.14,60.37,0.217657777,,,,,,
60,6,10-Mar-15,BW,GAMO,77,1,1,P,2,5,DC476,77-L,,0,5.23,23.25,,19.05,0,0,8.4,,,,,,,,,
248,22,22-Mar-15,LR,GAMO,88,1,1,P,2,6,DC540,88-R,,1,4.82,17.12,1.88,18.56,0,0,6.3,9.12,33.11,0.275445485,,,,,,
201,18,16-Mar-15,Gondor,GAMO,25,1,1,P,2,6,DC523,25-R,,1,4.75,18.3,2.34,18.42,0,0,9.3,8.26,27.75,0.297657658,,,,,,
179,16,16-Mar-15,UR,GAMO,76,1,1,W,2,5,,76-R,,0,5.27,20.54,2.19,17.83,0,2,2.6,4.18,31.08,0.134491634,,,,,,
279,25,22-Mar-15,UR,GAMO,100,1,1,P,3,10,DC527,100-L,YSBkG,1,5.59,22.04,5.98,16.75,0,0,6,16.96,59.31,0.285955151,,,,,,
138,13,14-Mar-15,HD,GAMO,140,1,1,W,2,5,DC501,140-L,,1,5.02,18.73,1.98,16.61,0,1,7.8,18.2,59.18,0.30753633,,,,,,
98,9,12-Mar-15,Gondor,GAMO,20,1,1,W,2,5,DC497,20-R,,1,4.6,17.42,1.84,15.84,,2,5.6,14.92,57.75,0.258354978,,,,,,
96,9,11-Mar-15,UR,GAMO,85,1,1,W,2,4,,85-L,,0,4.51,17.01,2.26,15.78,,2,7.5,13.98,43.28,0.323012939,,,,,,
149,13,14-Mar-15,Rohan,GAMO,122,1,1,W,2,5,,122-L,,0,5,18.23,2.24,15.25,0,1,3.8,6.7,36.69,0.182611066,,,,,,
100,10,12-Mar-15,Gondor,GAMO,20,1,1,W,2,5,DC498,20-B,,1,4.58,17.72,1.5,14.24,0,2,2.8,9.92,62.51,0.158694609,,,,,,
148,13,14-Mar-15,Rohan,GAMO,122,1,1,W,2,5,,122-R,,0,4.43,17.94,2.19,13.96,0,2,3.2,7.9,48.64,0.162417763,,,,,,
208,19,17-Mar-15,UR,GAMO,100,1,1,P,2,5,DC526,100-R,,1,4.64,14.38,1.48,13.17,0,2,,NO BLOOD,,,,,,,,
209,19,17-Mar-15,UR,GAMO,100,1,1,P,2,5,DC527,100-L,,1,4.47,13.97,0.74,12.7,0,0,,,,,,,,,,
181,16,16-Mar-15,UR,GAMO,76,1,1,W,2,4,,76-N,,0,4.38,16.78,1.21,12.42,0,2,4.2,12.88,52.57,0.245006658,,,,,,
27,4,8-Mar-15,UR,GAMO,89,1,1,P,2,5,DC424,89-N,,1,4.71,17.31,1.2,12.06,0,0,5.9,1.33,5.68,0.23415493,,,,,,
99,9,12-Mar-15,Gondor,GAMO,20,1,1,W,2,5,DC496,20-L,,1,4.79,15.12,1.15,10.93,,2,2.5,9.62,63.28,0.152022756,,,,,,
175,16,15-Mar-15,BW,GAMO,93,1,1,W,1,3,,93-R,,0,3.96,13.42,,10.89,0,1,,,,,,,,,,
161,14,14-Mar-15,LR,GAMO,42,1,1,W,2,5,,42-R,,0,4.39,15.66,1.31,10.12,0,1,,8.84,31.03,0.284885595,,,,,,
225,20,17-Mar-15,BW,GAMO,93,1,1,W,2,4,,93-L,,0,4.04,13.11,,10.11,0,2,4.6,1.23,4.26,0.288732394,,,,,,
83,8,11-Mar-15,LR,GAMO,42,1,1,W,1,3,DC512,42-L,,0,4.02,12.07,,9.42,0,1,,,,,,,,,,
168,15,15-Mar-15,TT,GAMO,74,1,1,P,2,6,,74-N,,0,4.99,17.46,3.05,9.23,0,1,8.7,13.65,46.19,0.295518511,,,,,,
79,8,11-Mar-15,Shire,GAMO,90,1,1,P,1,2,DC489,90-R,,1,3.32,10.44,,8.9,0,2,,,,,,,,,,
84,8,11-Mar-15,LR,GAMO,42,1,1,W,1,3,DC513,42-N,,0,3.64,11.37,,8.87,0,0,,,,,,,,,,
204,18,16-Mar-15,Gondor,GAMO,25,1,1,P,2,5,,25-N,,0,3.47,13.52,,8.66,0,0,9.8,16.74,46.66,0.358765538,,,,,,
110,10,13-Mar-15,UR,GAMO,76,1,1,W,1,2,,76-L,,0,3.84,10.63,,8.3,0,2,,,,,,,,,,
207,19,17-Mar-15,UR,GAMO,100,1,1,P,2,4,DC528,100-N,,1,3.98,11.85,0.43,8.09,0,0,,NO PLASMA,,,,,,,,
15,3,6-Mar-15,BW,GAMO,77,1,1,P,1,2,DC474,77-R,,1,3.43,10.89,,7.86,0,2,,,,,,,,,,
109,10,13-Mar-15,UR,GAMO,76,1,1,W,1,2,,76-R,,0,3.39,10.59,,7.5,0,2,,,,,,,,,,
17,3,6-Mar-15,BW,GAMO,77,1,1,P,1,2,DC477,77-N,,0,3.11,9.92,,7.15,0,0,,,,,,,,,,
24,3,8-Mar-15,UR,GAMO,85,1,1,W,1,2,DC499,85-B,,0,2.89,10.08,,6.93,0,0,,,,,,,,,,
277,25,22-Mar-15,LR,GAMO,88,1,1,P,2,5,,88-N,,0,3.39,11.6,,6.49,0,0,6.4,3.79,16.42,0.230816078,,,,,,
3,1,4-Mar-15,Beach,GAMO,59,1,1,P,1,2,DC464,59-B,,1,3.14,9.3,,6.2,0,0,,,,,,,,,,
76,8,10-Mar-15,HD,GAMO,140,1,1,W,1,2,DC495,140-R,,1,3.07,9.64,,6.2,0,0,,,,,,,,,,
8,1,4-Mar-15,UR,GAMO,89,1,1,P,1,2,DC425,89-R,,0,3.01,7.55,,6.1,0,2,,,,,,,,,,
62,6,10-Mar-15,AZ,GAMO,111,1,1,P,1,2,DC508,111-R,,0,3.06,9.23,,6.05,0,2,,,,,,,,,,
176,16,15-Mar-15,BW,GAMO,93,1,1,W,1,2,,93-L,,0,3.24,8.52,,5.84,0,2,,,,,,,,,,
16,3,6-Mar-15,BW,GAMO,77,1,1,P,1,1,DC476,77-L,,0,3.01,8.92,,5.75,0,2,,,,,,,,,,
103,10,12-Mar-15,Gondor,GAMO,25,1,1,P,1,2,DC525,25-B,,1,2.83,9.05,,5.67, ,,,,,,,,,,,
22,3,8-Mar-15,UR,GAMO,85,1,1,W,1,2,DC500,85-R,,1,2.81,9.33,,5.63,0,2,,,,,,,,,,
82,8,11-Mar-15,LR,GAMO,42,1,1,W,1,2,,42-R,,0,3.02,9.43,,5.63,0,2,,,,,,,,,,
1,1,4-Mar-15,Beach,GAMO,59,1,1,P,1,2,DC438,59-R,,1,3.23,9.42,,5.6,0,2,,,,,,,,,,
102,10,12-Mar-15,Gondor,GAMO,25,1,1,P,1,2,DC524,25-L,,1,2.94,8.7,,5.31,0,0,,,,,,,,,,
