year,nest,yearnest,rain,round,treatment,age,nestlings,fledglings,fledged at least 1,intensity,vidID,allopreening,begging,calm,fly,sanitation,standing at rim,standing in nest,feeding nestlings ,Inserted food ,sitting ,out of sight,preening,agitation ,adult ate food ,Grand Total,Fly,adult ate food ,vid sec,feed sec,sec present,percent feedpres,NDVI,vid date,adults,first rnd
2015,108,2015-108,168.9,2,W,4,4,2,1,126,2015-108-4,26.8,4.2,37.3,0,1.7,2.4,,0.8,0,27.9,20.1,,0.1,,121.3,3,,8903.447761,71.22758209,7113.854761,1.001251564,0.689067857,4/15/15,2,1
2015,117,2015-117,171.4,2,P,3,5,3,1,0,2015-117-3,22.6,9.8,42.4,0,0.3,3.7,,2.2,0,45.1,25.7,0.2,0.6,,152.6,5,,8892.879377,195.6433463,6607.409377,2.960969044,0.605074359,4/18/15,3,1
2015,117,2015-117,171.4,2,P,4,5,3,1,0,2015-117-4,37.9,9.8,79.8,0,1.6,7.1,2.8,2,0,1.3,46.1,0.2,1.8,,190.4,5,,8785.236443,175.7047289,4735.242443,3.710575139,0.605074359,4/19/15,3,1
2015,128,2015-128,179.4,2,W,4,4,0,0,41,2015-128-1,24.9,6.5,52.8,0,1.2,5,,1.2,0,42.6,22.9,0.1,0.8,0,158,2,,7202.829694,86.43395633,5553.381694,1.556420233,0.605074359,4/21/15,2,0
2015,128,2015-128,201.8,2,W,5,4,0,0,41,2015-128-2,42.7,0.8,90.7,0,,2.6,,0.6,0,11.3,42.7,,0,0,191.4,1,,11403.96487,68.42378923,6534.471871,1.047120419,0.605074359,4/22/15,2,0
2015,138,2015-138,204.8,2,P,5,5,5,1,0,2015-138-3,16.2,12,57.5,,0.1,4.8,,1.3,0,31.5,44.8,,2.5,,170.7,,,10422.82143,135.4966786,5753.397429,2.355072464,0.605074359,5/1/15,2,1
2015,138,2015-138,204.8,2,P,6,5,5,1,0,2015-138-4,3.8,7,66.4,,0.6,11.1,,1.6,0,15.3,66,,0.4,,172.2,,,7200.978788,115.2156606,2448.332788,4.705882353,0.605,5/2/15,2,1
2015,2,2015-2,168.9,2,P,2,5,5,1,0,2/3/15,12.1,7.7,39.7,0,0.1,3.4,0.1,3.2,0,55.3,24.9,,1.6,0,148.1,2,,9590.634538,306.9003052,7202.566538,4.260985353,0.605074359,4/16/15,3,1
2015,40,2015-40,204,2,P,5,5,4,1,0,2015-40-2,9.6,5.5,67.7,,0.2,2,0.5,1,0,54.9,31.7,,0.3,0,173.4,,,5152.324921,51.52324921,3519.037921,1.464128843,0.605074359,4/24/15,2,0
2015,40,2015-40,204,2,P,8,4,4,1,0,2015-40-3,7.2,18.1,78.4,0,0.9,5.1,,1.5,0,3.2,82,,1.5,,197.9,1,,8638.937805,129.5840671,1555.008805,8.333333333,0.605074359,4/27/15,2,0
